no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
3771,가평 물소리 캠핑장,민간,경기도,가평군,경기 가평군 조종면 명지산로 345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.22,,,,0,0,0,0,,,,,
3772,아인글램핑,민간,경기도,가평군,경기 가평군 북면 제령아랫말길 67-30,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.22,개별,"전기,무선인터넷,장작판매,온수,트렘폴린",계곡 물놀이,0,0,0,0,여름물놀이,,가능,,
3773,안면도힐링캠핑장,민간,충청남도,태안군,충남 태안군 안면읍 갯개길 39,0,18,0,0,0,0,0,0,0,0,0,0,10,8,0,2022.12.23,개별,"전기,온수,물놀이장,놀이터,마트_편의점","산책로,수상레저,낚시,해수욕,청소년체험시설",9,0,0,0,,릴선,가능(소형견),,
3774,온더비치 글램핑,민간,인천광역시,옹진군,인천 옹진군 영흥면 선재로306번길 27-125,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.23,,"전기,무선인터넷,장작판매,온수,운동시설",해수욕,0,0,0,0,"일몰명소,낚시,여름물놀이,걷기길",,가능,,
3775,다도해해상국립공원 구계등야영장,국립공원,전라남도,완도군,전남 완도군 완도읍 구계등길 47-1,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2022.12.26,개별,"전기,온수,놀이터","산책로,해수욕",14,0,0,0,"일몰명소,여름물놀이,걷기길",,가능,,
3776,고래캠핑,민간,전라남도,무안군,전남 무안군 해제면 참새골길 30,0,24,3,0,2,0,0,0,0,0,0,0,6,18,2,2022.12.27,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트_편의점","산책로,수상레저,낚시,해수욕",30,0,0,3,"일몰명소,수상레저,낚시,액티비티,여름물놀이,걷기길",,가능,,
3777,하늘숲 오토캠핑장,민간,전라북도,완주군,전북 완주군 동상면 대아수목로 439-2,0,23,0,0,0,0,0,0,0,0,0,0,7,15,0,2022.12.27,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트_편의점","계곡 물놀이,산책로",12,0,0,0,여름물놀이,,가능,,
3778,한솔 스테이,민간,경기도,연천군,경기 연천군 장남면 장백로278번길 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.28,,,,0,0,0,0,,,,,
3779,월현 포레스트,민간,강원도,횡성군,강원 횡성군 강림면 월안길 251,3,50,1,0,0,0,8,8,7,10,7,6,20,30,4,2022.12.28,개별,"전기,무선인터넷,장작판매,온수,운동시설",,0,0,0,0,"가을단풍명소,겨울눈꽃명소",,가능,,
3780,더 코지 캠핑장,민간,충청남도,논산시,충남 논산시 노성면 노성로322번길 42-10,0,33,0,0,0,0,0,0,0,0,0,0,30,2,1,2022.12.29,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트_편의점",산책로,20,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소",,가능,,
3781,일랑일랑 애견캠핑 앤 카라반,민간,경상북도,칠곡군,경북 칠곡군 왜관읍 강변대로 723,16,17,0,6,0,0,12,10,0,10,8,0,9,7,1,2022.12.30,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트_편의점","산책로,어린이놀이시설",15,0,0,6,여름물놀이,,가능,,
3782,이편한캠핑,민간,강원도,평창군,강원 평창군 봉평면 흥정계곡4길 211,10,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2022.12.30,개별,"전기,무선인터넷,장작판매,온수,운동시설",계곡 물놀이,0,0,0,0,"여름물놀이,가을단풍명소",,가능(소형견),,
3783,경안글로브,민간,경상북도,경주시,경북 경주시 강동면 새마을로 1124-50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2022.12.28,개별,,,7,1,1,0,,,불가능,,
3784,트라움 풀 빌라 글램핑&카라반,민간,경기도,가평군,경기 가평군 상면 임초리 92-2,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2023.1.6,개별,"전기,장작판매,온수,물놀이장,마트_편의점","계곡 물놀이,산책로",23,0,0,23,"일출명소,일몰명소,여름물놀이,가을단풍명소,겨울눈꽃명소",화로대,불가능,,
3785,_ 자켓,민간,경기도,포천시,경기 포천시 이동면 늠바위길 201-3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2021.12.22,개별,,,0,0,0,0,,,불가능,,
3786,안양 산마을캠핑장,민간,경기도,안양시,경기 안양시 동안구 평촌대로 452-2 (비산동),18,15,0,0,0,,0,0,0,0,0,0,0,0,0,2022.12.14,개별,"전기,무선인터넷,장작판매,온수,마트_편의점","산책로,운동장",40,2,2,10,"일몰명소,걷기길","텐트,릴선,화로대,난방기구,식기",가능,,
3787,광양 해뜰 오토 캠핑장,민간,전라남도,광양시,전남 광양시 봉강면 신촌길 140,0,11,0,0,0,,0,0,0,0,0,0,11,0,0,2023.1.18,개별,"전기,장작판매,온수,물놀이장,운동시설","계곡 물놀이,산책로,청소년체험시설",8,0,0,2,여름물놀이,"릴선,화로대",불가능,,
3788,럭셔리풀빌라 글램핑 풀램핑,민간,경기도,가평군,경기 가평군 청평면 남이터길 52-35,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2022.6.22,개별,,,0,0,0,0,,,불가능,,
3789,두랭이해변 오토 캠핑장,민간,전라남도,여수시,전남 여수시 율촌면 두언길 106-51,0,10,0,0,0,,0,0,0,0,0,0,3,1,1,2023.1.18,개별,"전기,장작판매,온수,놀이터,운동시설","수상레저,낚시,해수욕",10,0,0,0,,,가능,,
3790,클럽아일랜드 글램핑카라반,민간,경기도,포천시,경기 포천시 신북면 지동길 199-10,20,0,0,28,0,0,0,0,0,0,0,0,0,0,0,2023.1.3,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동장","산책로,운동장",50,20,20,38,,화로대,불가능,,
3791,북한산 둘레캠프,민간,서울특별시,은평구,서울 은평구 연서로 608-2 (진관동),0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2023.1.6,개별,"전기,무선인터넷,장작판매,온수,마트_편의점",산책로,20,0,0,13,,,불가능,,
3792,숲스토리야영장,민간,전라북도,진안군,전북특별자치도 진안군 정천면 봉학로 419-30,0,9,0,0,0,,0,0,0,0,0,0,9,0,0,2023.1.20,개별,"전기,무선인터넷,장작판매,온수,물놀이장","계곡 물놀이,산책로",9,1,1,0,"일출명소,일몰명소,낚시,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길","릴선,화로대",가능(소형견),,
3793,산우물 북 캠핑장,민간,경기도,안성시,경기 안성시 양성면 산정산우물길 138,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2022.1.19,개별,,,0,0,0,0,,,불가능,,
3794,굿나잇 캠핑장,민간,강원도,홍천군,강원 홍천군 화촌면 도심리길 151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.1.11,개별,,,0,0,0,0,,,불가능,,
