no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
3443,명암539펜션오토캠핑장,민간,충청북도,제천시,충북 제천시 봉양읍 명암로 546,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,2022.6.3,개별,"전기,장작판매,온수,트렘폴린,운동시설,마트_편의점",계곡 물놀이,4,0,0,0,여름물놀이,,가능,128.1403357,37.19005641
3444,메이플글램핑카라반2호점,민간,경기도,포천시,경기 포천시 이동면 화동로 2206-2,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,2022.6.3,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",계곡 물놀이,0,0,0,0,,,가능,127.3735639,38.04270275
3445,더자리,민간,경상북도,포항시,경북 포항시 남구 호미곶면 호미로 1200,0,22,0,0,10,0,0,0,0,0,0,0,3,14,15,2022.6.3,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설","산책로,수상레저,낚시,해수욕",17,0,0,0,"일출명소,수상레저,낚시,액티비티,여름물놀이,걷기길",,가능(소형견),129.5726085,36.06293014
3446,용화산테마파크 캠핑장,민간,강원도,춘천시,강원 춘천시 사북면 용화산로 76-72,0,36,0,0,0,0,0,0,0,0,0,0,32,4,0,2022.6.3,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",계곡 물놀이,0,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소",,가능,127.7442304,38.00040413
3447,그로브(grove)캠핑,민간,경상북도,청도군,경북 청도군 운문면 신원3길 2-4,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,2022.6.15,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,산책로,어린이놀이시설",0,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,걷기길",,가능(소형견),129.0017426,35.67234312
3448,여우하우야영장,민간,경기도,시흥시,경기 시흥시 하우로94번길 39 (대야동),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.6.7,,,,0,0,0,0,,,,126.7878976,37.46320343
3449,히든캠프,민간,경기도,안성시,경기 안성시 죽산면 용설호수길 170-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.6.8,,,,0,0,0,0,,,,127.4472484,37.05532541
3450,스탈릿캠핑펜션,민간,강원도,평창군,강원 평창군 용평면 신약수로 261,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.6.8,개별,"전기,무선인터넷,장작판매,온수,놀이터",계곡 물놀이,0,0,0,0,"가을단풍명소,겨울눈꽃명소",,가능(소형견),128.4968814,37.67197348
3451,녹고뫼캠핑장 관광농원,민간,제주특별자치도,제주시,제주특별자치도 제주시 애월읍 유수암평화10길 175-78,43,20,5,0,0,0,0,0,0,0,0,0,0,0,0,2022.6.9,개별,"전기,장작판매,트렘폴린,물놀이장,산책로,운동시설,마트_편의점",,0,0,0,0,"봄꽃여행,가을단풍명소,겨울눈꽃명소",,가능(소형견),126.4185462,33.41313785
3452,신불산 베이스캠프 오토캠핑장,민간,울산광역시,울주군,울산 울주군 삼남읍 자수정로 125,0,30,0,0,0,0,0,0,0,0,0,0,20,0,0,2022.6.9,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설,마트_편의점",,0,0,0,0,"봄꽃여행,가을단풍명소",,가능,129.0976705,35.53811946
3453,올레유,민간,충청남도,태안군,충남 태안군 원북면 동해길 201,59,0,10,8,0,0,0,0,0,0,0,0,29,30,0,2022.6.9,개별,"전기,장작판매,온수,놀이터","산책로,수상레저,낚시,해수욕,청소년체험시설",48,0,0,18,"수상레저,봄꽃여행,여름물놀이,가을단풍명소,걷기길",,가능(소형견),126.2374859,36.81570317
